0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:25 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:35 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:44 +0530] "POST /xworkz-rudra-cm/signin HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:44 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:57 +0530] "GET /xworkz-rudra-cm/profileUpdate.jsp HTTP/1.1" 200 5171
0:0:0:0:0:0:0:1 - - [05/May/2023:17:29:57 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:27 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:27 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:29 +0530] "GET /xworkz-rudra-cm/addTechnology HTTP/1.1" 200 3081
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:30 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:31 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:31 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:33 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:30:35 +0530] "GET /xworkz-rudra-cm/resetpassword.jsp HTTP/1.1" 200 2162
0:0:0:0:0:0:0:1 - - [05/May/2023:17:31:46 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [05/May/2023:17:40:41 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7566
