0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:46 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:53 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=20&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:40:53 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:03 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=Oracal&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 4133
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:03 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:11 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=20-12-2022&teSupportTo=&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:12 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:17 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=1-7-2034&teLicense=&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 2836
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:17 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:22 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=147852&teOpenSource=&teOsType=&userId=Parameshwari HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:22 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:26 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=yes&teOsType=&userId=Parameshwari HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:26 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:34 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=No&teOsType=&userId=Parameshwari HTTP/1.1" 200 3253
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:34 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:38 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=Linux&userId=Parameshwari HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:38 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:43 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=&teOsType=windows&userId=Parameshwari HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:43 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:46 +0530] "GET /xworkz-rudra-cm/view?userId=Parameshwari HTTP/1.1" 200 5382
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:41:46 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:01 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=yes&teOsType=&userId=Parameshwari HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:01 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:33 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=No&teOsType=&userId=Parameshwari HTTP/1.1" 200 3253
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:33 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:38 +0530] "GET /xworkz-rudra-cm/searchTechnology?teName=&teLangauge=&teVersion=&teOwner=&teSupportFrom=&teSupportTo=&teLicense=&teOpenSource=yes&teOsType=&userId=Parameshwari HTTP/1.1" 200 6477
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:42:38 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:43:43 +0530] "GET /xworkz-rudra-cm/LoginSucess.jsp HTTP/1.1" 200 1526
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:43:43 +0530] "GET /xworkz-rudra-cm/download?fileName=Parameshwari1682406319348.jpg HTTP/1.1" 200 6851093
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:43:44 +0530] "GET /xworkz-rudra-cm/SignIn.jsp HTTP/1.1" 200 2672
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:43:50 +0530] "GET /xworkz-rudra-cm/signUp.jsp HTTP/1.1" 200 7543
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:44:33 +0530] "GET /xworkz-rudra-cm/userName/Someshwari HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [27/Apr/2023:15:47:20 +0530] "GET /xworkz-rudra-cm/userName/Ganesh HTTP/1.1" 200 -
